ts_event,open,high,low,close,volume,symbol
2020-01-01 23:00:00+00:00,3237,3238,3235.25,3236.25,2974,ES.v.0
2020-01-01 23:01:00+00:00,3236.25,3236.25,3234.75,3234.75,829,ES.v.0
2020-01-01 23:02:00+00:00,3234.75,3235.5,3234.25,3235.25,848,ES.v.0
2020-01-01 23:03:00+00:00,3235.5,3236.25,3235.25,3236,585,ES.v.0
2020-01-01 23:04:00+00:00,3236,3236,3235.25,3235.5,314,ES.v.0
2020-01-01 23:05:00+00:00,3235.5,3235.75,3235.25,3235.25,210,ES.v.0
2020-01-01 23:06:00+00:00,3235.25,3235.75,3235.25,3235.5,275,ES.v.0
2020-01-01 23:07:00+00:00,3235.75,3235.75,3235.25,3235.5,242,ES.v.0
2020-01-01 23:08:00+00:00,3235.75,3236.5,3235.75,3236.5,117,ES.v.0
2020-01-01 23:09:00+00:00,3236.5,3238,3236.5,3237.75,732,ES.v.0
2020-01-01 23:10:00+00:00,3237.75,3239,3237.75,3238.75,1209,ES.v.0
2020-01-01 23:11:00+00:00,3238.75,3238.75,3238,3238.5,183,ES.v.0
2020-01-01 23:12:00+00:00,3238.5,3238.75,3238.25,3238.25,220,ES.v.0
2020-01-01 23:13:00+00:00,3238.25,3239,3238.25,3239,160,ES.v.0
2020-01-01 23:14:00+00:00,3239,3239.25,3238.5,3239.25,416,ES.v.0
2020-01-01 23:15:00+00:00,3239.25,3239.75,3239,3239,341,ES.v.0
2020-01-01 23:16:00+00:00,3239.25,3239.25,3238.75,3238.75,303,ES.v.0
2020-01-01 23:17:00+00:00,3238.75,3239,3238.75,3238.75,51,ES.v.0
2020-01-01 23:18:00+00:00,3238.75,3239.75,3238.75,3239.75,311,ES.v.0
2020-01-01 23:19:00+00:00,3239.75,3239.75,3239.5,3239.75,86,ES.v.0
2020-01-01 23:20:00+00:00,3239.5,3240.5,3239.5,3240.5,466,ES.v.0
2020-01-01 23:21:00+00:00,3240.25,3240.5,3240,3240.25,520,ES.v.0
2020-01-01 23:22:00+00:00,3240.25,3240.25,3239.75,3240,183,ES.v.0
2020-01-01 23:23:00+00:00,3239.75,3240,3239.25,3239.75,178,ES.v.0
2020-01-01 23:24:00+00:00,3239.5,3239.5,3239.25,3239.5,200,ES.v.0
2020-01-01 23:25:00+00:00,3239.5,3239.5,3239,3239.25,57,ES.v.0
2020-01-01 23:26:00+00:00,3239.25,3239.75,3239.25,3239.75,117,ES.v.0
2020-01-01 23:27:00+00:00,3239.5,3240.25,3239.5,3240,259,ES.v.0
2020-01-01 23:28:00+00:00,3240,3240.5,3240,3240.5,69,ES.v.0
2020-01-01 23:29:00+00:00,3240.5,3240.75,3240.25,3240.25,144,ES.v.0
2020-01-01 23:30:00+00:00,3240.5,3240.5,3240,3240,181,ES.v.0
2020-01-01 23:31:00+00:00,3239.75,3240.5,3239.75,3240,197,ES.v.0
